model,split,run,n_instances,n_violated,violation_rate_pct,temperature
deepseek-v3.2,multi,1,150,14,9.33,0.0
deepseek-v3.2,multi,2,150,13,8.67,0.0
deepseek-v3.2,multi,3,150,17,11.33,0.0
deepseek-v3.2,multi,4,150,15,10.0,0.0
deepseek-v3.2,multi,5,150,17,11.33,0.0
deepseek-v3.2,identification,1,150,10,6.67,0.0
deepseek-v3.2,identification,2,150,10,6.67,0.0
deepseek-v3.2,identification,3,150,11,7.33,0.0
deepseek-v3.2,identification,4,150,12,8.0,0.0
deepseek-v3.2,identification,5,150,6,4.0,0.0
deepseek-v3.2,multivariate,1,174,1,0.57,0.0
deepseek-v3.2,multivariate,2,174,2,1.15,0.0
deepseek-v3.2,multivariate,3,174,3,1.72,0.0
deepseek-v3.2,multivariate,4,174,2,1.15,0.0
deepseek-v3.2,multivariate,5,174,0,0.0,0.0
deepseek-v3.2,single,1,24,5,20.83,0.0
deepseek-v3.2,single,2,24,5,20.83,0.0
deepseek-v3.2,single,3,24,4,16.67,0.0
deepseek-v3.2,single,4,24,6,25.0,0.0
deepseek-v3.2,single,5,24,6,25.0,0.0
